"detid","time","flow","lat","lon","geom"
K405Z2C,2016-09-19 04:21:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:24:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:27:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:30:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:33:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:36:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:39:00.000 +0200,40.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:42:00.000 +0200,60.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:45:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:48:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:51:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:54:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 04:57:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:00:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:03:00.000 +0200,40.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:06:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:09:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:12:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:15:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:18:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:21:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:24:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:27:00.000 +0200,40.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:30:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:33:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:36:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:39:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:42:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:45:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:48:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:51:00.000 +0200,60.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:54:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 05:57:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:00:00.000 +0200,60.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:03:00.000 +0200,60.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:06:00.000 +0200,0.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:09:00.000 +0200,40.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:12:00.000 +0200,20.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:15:00.000 +0200,60.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:18:00.000 +0200,100.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:21:00.000 +0200,60.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:24:00.000 +0200,100.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:27:00.000 +0200,60.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:30:00.000 +0200,120.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:33:00.000 +0200,40.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:36:00.000 +0200,100.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:39:00.000 +0200,60.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:42:00.000 +0200,180.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:45:00.000 +0200,140.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:48:00.000 +0200,120.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:51:00.000 +0200,100.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:54:00.000 +0200,140.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 06:57:00.000 +0200,160.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:00:00.000 +0200,120.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:03:00.000 +0200,80.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:06:00.000 +0200,180.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:09:00.000 +0200,200.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:12:00.000 +0200,260.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:15:00.000 +0200,160.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:18:00.000 +0200,260.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:21:00.000 +0200,240.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:24:00.000 +0200,220.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:27:00.000 +0200,380.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:30:00.000 +0200,260.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:33:00.000 +0200,460.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:36:00.000 +0200,520.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:39:00.000 +0200,360.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:42:00.000 +0200,600.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:45:00.000 +0200,460.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:48:00.000 +0200,320.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:51:00.000 +0200,360.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:54:00.000 +0200,300.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 07:57:00.000 +0200,360.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:00:00.000 +0200,280.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:03:00.000 +0200,320.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:06:00.000 +0200,260.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
